feature,feature_value,shap_value,abs_shap
V14,-9.15095100562097,4.76758,4.76758
V10,-4.06309810827338,1.5622467,1.5622467
V4,6.00941477810058,1.2308004,1.2308004
V12,-6.15136219091534,1.1841699,1.1841699
V8,0.338526987742346,-0.7146383,0.7146383
V3,-5.64734296336341,0.5596229,0.5596229
V7,-1.81930788593969,0.49569628,0.49569628
V11,2.94119009271712,0.45327014,0.45327014
V17,-2.89255533222526,0.3910638,0.3910638
V16,-1.95229039984463,0.35738438,0.35738438
Time,146022.0,-0.33786693,0.33786693
V22,-0.397434852530952,-0.32092258,0.32092258
V28,0.360224330288316,-0.24842837,0.24842837
V19,-1.56373996709776,0.2472926,0.2472926
V2,2.84902401493181,-0.2452077,0.2452077
V18,-0.912057960709434,-0.23897955,0.23897955
V24,-0.168596545191964,-0.21063747,0.21063747
log_amount_hour_interaction,12.469198028815962,-0.17884184,0.17884184
Amount,1.18,-0.17234746,0.17234746
amount_roll_mean_5,39.37199999999996,-0.14464022,0.14464022
V6,-2.39701442397293,-0.13938203,0.13938203
V20,0.241921294746754,-0.13824406,0.13824406
Hour,16.0,0.13415161,0.13415161
amount_roll_mean_10,32.98299999999903,-0.12239722,0.12239722
amount_roll_std_10,32.25501340901118,-0.11053917,0.11053917
V13,-1.98952853525001,0.0932337,0.0932337
amount_roll_median_10,28.555,-0.088718824,0.088718824
V1,0.908636658181293,0.08674279,0.08674279
V27,0.648704799002062,0.0782849,0.0782849
amount_time_interaction,1.18,0.051032685,0.051032685
V23,-0.0800058534116311,-0.045284823,0.045284823
V5,0.216656395035464,0.0446031,0.0446031
amount_ratio_5,0.0299705366765585,-0.040613934,0.040613934
amount_roll_std_5,44.76386567321104,-0.03891336,0.03891336
Day,1.0,-0.03258361,0.03258361
V26,0.210509756241616,0.031984724,0.031984724
time_diff,0.0,-0.023217168,0.023217168
V21,0.407260461266497,0.02273532,0.02273532
Log_Amount,0.7793248768009976,0.019310161,0.019310161
V25,0.465058497798457,-0.018898522,0.018898522
amount_dev_median_10,-27.375,-0.015625503,0.015625503
amount_ratio_10,0.0357760047365015,0.015214695,0.015214695
V9,-2.81988277297887,-0.008032803,0.008032803
V15,-0.604289998808266,0.0027562454,0.0027562454
Amount_Robust,-0.2909243345210647,0.0,0.0
tx_count_proxy_10,10.0,0.0,0.0
tx_count_proxy_5,5.0,0.0,0.0
