threshold,precision,recall,f1,tn,fp,fn,tp,fraud_capture_rate,false_alert_rate
0.01,0.11168831168831168,0.8269230769230769,0.19679633867276888,45175,342,9,43,0.8269230769071746,0.0075136762088888216
0.02,0.2789115646258503,0.7884615384615384,0.4120603015075377,45411,106,11,41,0.7884615384463758,0.002328800228486009
0.03,0.5125,0.7884615384615384,0.6212121212121212,45478,39,11,41,0.7884615384463758,0.000856822725575041
0.04,0.5555555555555556,0.7692307692307693,0.6451612903225806,45485,32,12,40,0.7692307692159763,0.0007030340312410594
0.05,0.6190476190476191,0.75,0.6782608695652174,45493,24,13,39,0.749999999985577,0.0005272755234307945
0.060000000000000005,0.65,0.75,0.6964285714285714,45496,21,13,39,0.749999999985577,0.0004613660830019452
0.06999999999999999,0.6724137931034483,0.75,0.7090909090909091,45498,19,13,39,0.749999999985577,0.000417426456049379
0.08,0.6724137931034483,0.75,0.7090909090909091,45498,19,13,39,0.749999999985577,0.000417426456049379
0.09,0.7647058823529411,0.75,0.7572815533980582,45505,12,13,39,0.749999999985577,0.00026363776171539724
0.09999999999999999,0.7959183673469388,0.75,0.7722772277227723,45507,10,13,39,0.749999999985577,0.00021969813476283104
0.11,0.9069767441860465,0.75,0.8210526315789474,45513,4,13,39,0.749999999985577,8.787925390513242e-05
0.12,0.9069767441860465,0.75,0.8210526315789474,45513,4,13,39,0.749999999985577,8.787925390513242e-05
0.13,0.9069767441860465,0.75,0.8210526315789474,45513,4,13,39,0.749999999985577,8.787925390513242e-05
0.14,0.9069767441860465,0.75,0.8210526315789474,45513,4,13,39,0.749999999985577,8.787925390513242e-05
0.15000000000000002,0.9069767441860465,0.75,0.8210526315789474,45513,4,13,39,0.749999999985577,8.787925390513242e-05
0.16,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,0.7307692307551775,4.393962695256621e-05
0.17,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,0.7307692307551775,4.393962695256621e-05
0.18000000000000002,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,0.7307692307551775,4.393962695256621e-05
0.19,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,0.7307692307551775,4.393962695256621e-05
0.2,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,0.7307692307551775,4.393962695256621e-05
0.21000000000000002,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,0.7307692307551775,4.393962695256621e-05
0.22,0.9487179487179487,0.7115384615384616,0.8131868131868132,45515,2,15,37,0.7115384615247782,4.393962695256621e-05
0.23,0.9487179487179487,0.7115384615384616,0.8131868131868132,45515,2,15,37,0.7115384615247782,4.393962695256621e-05
0.24000000000000002,0.9487179487179487,0.7115384615384616,0.8131868131868132,45515,2,15,37,0.7115384615247782,4.393962695256621e-05
0.25,0.9487179487179487,0.7115384615384616,0.8131868131868132,45515,2,15,37,0.7115384615247782,4.393962695256621e-05
0.26,0.9487179487179487,0.7115384615384616,0.8131868131868132,45515,2,15,37,0.7115384615247782,4.393962695256621e-05
0.27,0.9473684210526315,0.6923076923076923,0.8,45515,2,16,36,0.6923076922943787,4.393962695256621e-05
0.28,0.9473684210526315,0.6923076923076923,0.8,45515,2,16,36,0.6923076922943787,4.393962695256621e-05
0.29000000000000004,0.9473684210526315,0.6923076923076923,0.8,45515,2,16,36,0.6923076922943787,4.393962695256621e-05
0.3,0.9473684210526315,0.6923076923076923,0.8,45515,2,16,36,0.6923076922943787,4.393962695256621e-05
0.31,0.9473684210526315,0.6923076923076923,0.8,45515,2,16,36,0.6923076922943787,4.393962695256621e-05
0.32,0.9473684210526315,0.6923076923076923,0.8,45515,2,16,36,0.6923076922943787,4.393962695256621e-05
0.33,0.9473684210526315,0.6923076923076923,0.8,45515,2,16,36,0.6923076922943787,4.393962695256621e-05
0.34,0.9473684210526315,0.6923076923076923,0.8,45515,2,16,36,0.6923076922943787,4.393962695256621e-05
0.35000000000000003,0.9473684210526315,0.6923076923076923,0.8,45515,2,16,36,0.6923076922943787,4.393962695256621e-05
0.36000000000000004,0.9473684210526315,0.6923076923076923,0.8,45515,2,16,36,0.6923076922943787,4.393962695256621e-05
0.37,0.9473684210526315,0.6923076923076923,0.8,45515,2,16,36,0.6923076922943787,4.393962695256621e-05
0.38,0.9473684210526315,0.6923076923076923,0.8,45515,2,16,36,0.6923076922943787,4.393962695256621e-05
0.39,0.9459459459459459,0.6730769230769231,0.7865168539325843,45515,2,17,35,0.6730769230639794,4.393962695256621e-05
0.4,0.9459459459459459,0.6730769230769231,0.7865168539325843,45515,2,17,35,0.6730769230639794,4.393962695256621e-05
0.41000000000000003,0.9444444444444444,0.6538461538461539,0.7727272727272727,45515,2,18,34,0.6538461538335799,4.393962695256621e-05
0.42000000000000004,0.9428571428571428,0.6346153846153846,0.7586206896551724,45515,2,19,33,0.6346153846031806,4.393962695256621e-05
0.43,0.9428571428571428,0.6346153846153846,0.7586206896551724,45515,2,19,33,0.6346153846031806,4.393962695256621e-05
0.44,0.9428571428571428,0.6346153846153846,0.7586206896551724,45515,2,19,33,0.6346153846031806,4.393962695256621e-05
0.45,0.9411764705882353,0.6153846153846154,0.7441860465116279,45515,2,20,32,0.6153846153727811,4.393962695256621e-05
0.46,0.9393939393939394,0.5961538461538461,0.7294117647058823,45515,2,21,31,0.5961538461423816,4.393962695256621e-05
0.47000000000000003,0.9375,0.5769230769230769,0.7142857142857143,45515,2,22,30,0.5769230769119823,4.393962695256621e-05
0.48000000000000004,0.9354838709677419,0.5576923076923077,0.6987951807228916,45515,2,23,29,0.5576923076815828,4.393962695256621e-05
0.49,0.9333333333333333,0.5384615384615384,0.6829268292682927,45515,2,24,28,0.5384615384511835,4.393962695256621e-05
0.5,0.9310344827586207,0.5192307692307693,0.6666666666666666,45515,2,25,27,0.519230769220784,4.393962695256621e-05
0.51,0.9259259259259259,0.4807692307692308,0.6329113924050633,45515,2,27,25,0.48076923075998523,4.393962695256621e-05
0.52,0.9259259259259259,0.4807692307692308,0.6329113924050633,45515,2,27,25,0.48076923075998523,4.393962695256621e-05
0.53,0.9230769230769231,0.46153846153846156,0.6153846153846154,45515,2,28,24,0.46153846152958583,4.393962695256621e-05
0.54,0.9230769230769231,0.46153846153846156,0.6153846153846154,45515,2,28,24,0.46153846152958583,4.393962695256621e-05
0.55,0.9583333333333334,0.4423076923076923,0.6052631578947368,45516,1,29,23,0.44230769229918643,2.1969813476283106e-05
0.56,0.9583333333333334,0.4423076923076923,0.6052631578947368,45516,1,29,23,0.44230769229918643,2.1969813476283106e-05
0.5700000000000001,0.9565217391304348,0.4230769230769231,0.5866666666666667,45516,1,30,22,0.423076923068787,2.1969813476283106e-05
0.5800000000000001,0.9545454545454546,0.40384615384615385,0.5675675675675675,45516,1,31,21,0.4038461538383876,2.1969813476283106e-05
0.59,0.9545454545454546,0.40384615384615385,0.5675675675675675,45516,1,31,21,0.4038461538383876,2.1969813476283106e-05
0.6,0.9545454545454546,0.40384615384615385,0.5675675675675675,45516,1,31,21,0.4038461538383876,2.1969813476283106e-05
0.61,0.9523809523809523,0.38461538461538464,0.547945205479452,45516,1,32,20,0.38461538460798816,2.1969813476283106e-05
0.62,0.9523809523809523,0.38461538461538464,0.547945205479452,45516,1,32,20,0.38461538460798816,2.1969813476283106e-05
0.63,0.95,0.36538461538461536,0.5277777777777778,45516,1,33,19,0.36538461537758876,2.1969813476283106e-05
0.64,0.95,0.36538461538461536,0.5277777777777778,45516,1,33,19,0.36538461537758876,2.1969813476283106e-05
0.65,1.0,0.3269230769230769,0.4927536231884058,45517,0,35,17,0.32692307691678996,0.0
0.66,1.0,0.3269230769230769,0.4927536231884058,45517,0,35,17,0.32692307691678996,0.0
0.67,1.0,0.25,0.4,45517,0,39,13,0.24999999999519232,0.0
0.68,1.0,0.23076923076923078,0.375,45517,0,40,12,0.23076923076479292,0.0
0.6900000000000001,1.0,0.19230769230769232,0.3225806451612903,45517,0,42,10,0.19230769230399408,0.0
0.7000000000000001,1.0,0.15384615384615385,0.26666666666666666,45517,0,44,8,0.15384615384319528,0.0
0.7100000000000001,1.0,0.15384615384615385,0.26666666666666666,45517,0,44,8,0.15384615384319528,0.0
0.72,1.0,0.15384615384615385,0.26666666666666666,45517,0,44,8,0.15384615384319528,0.0
0.73,1.0,0.11538461538461539,0.20689655172413793,45517,0,46,6,0.11538461538239646,0.0
0.74,1.0,0.09615384615384616,0.17543859649122806,45517,0,47,5,0.09615384615199704,0.0
0.75,1.0,0.07692307692307693,0.14285714285714285,45517,0,48,4,0.07692307692159764,0.0
0.76,1.0,0.07692307692307693,0.14285714285714285,45517,0,48,4,0.07692307692159764,0.0
0.77,1.0,0.057692307692307696,0.10909090909090909,45517,0,49,3,0.05769230769119823,0.0
0.78,1.0,0.057692307692307696,0.10909090909090909,45517,0,49,3,0.05769230769119823,0.0
0.79,1.0,0.057692307692307696,0.10909090909090909,45517,0,49,3,0.05769230769119823,0.0
0.8,1.0,0.019230769230769232,0.03773584905660377,45517,0,51,1,0.01923076923039941,0.0
0.81,1.0,0.019230769230769232,0.03773584905660377,45517,0,51,1,0.01923076923039941,0.0
0.8200000000000001,1.0,0.019230769230769232,0.03773584905660377,45517,0,51,1,0.01923076923039941,0.0
0.8300000000000001,1.0,0.019230769230769232,0.03773584905660377,45517,0,51,1,0.01923076923039941,0.0
0.8400000000000001,1.0,0.019230769230769232,0.03773584905660377,45517,0,51,1,0.01923076923039941,0.0
0.85,1.0,0.019230769230769232,0.03773584905660377,45517,0,51,1,0.01923076923039941,0.0
0.86,1.0,0.019230769230769232,0.03773584905660377,45517,0,51,1,0.01923076923039941,0.0
0.87,0.0,0.0,0.0,45517,0,52,0,0.0,0.0
0.88,0.0,0.0,0.0,45517,0,52,0,0.0,0.0
0.89,0.0,0.0,0.0,45517,0,52,0,0.0,0.0
0.9,0.0,0.0,0.0,45517,0,52,0,0.0,0.0
0.91,0.0,0.0,0.0,45517,0,52,0,0.0,0.0
0.92,0.0,0.0,0.0,45517,0,52,0,0.0,0.0
0.93,0.0,0.0,0.0,45517,0,52,0,0.0,0.0
0.9400000000000001,0.0,0.0,0.0,45517,0,52,0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0,45517,0,52,0,0.0,0.0
