threshold,precision,recall,f1,tn,fp,fn,tp,fraud_capture_rate,false_alert_rate,false_negative_cost,false_positive_cost,total_cost
0.01,0.4117647058823529,0.8076923076923077,0.5454545454545454,45457,60,10,42,0.8076923076767752,0.0013181888085769,1000,300,1300
0.02,0.5189873417721519,0.7884615384615384,0.6259541984732825,45479,38,11,41,0.7884615384463758,0.0008348529120987,1100,190,1290
0.03,0.5942028985507246,0.7884615384615384,0.6776859504132231,45489,28,11,41,0.7884615384463758,0.0006151547773359,1100,140,1240
0.04,0.6212121212121212,0.7884615384615384,0.6949152542372882,45492,25,11,41,0.7884615384463758,0.000549245336907,1100,125,1225
0.05,0.6557377049180327,0.7692307692307693,0.7079646017699115,45496,21,12,40,0.7692307692159763,0.0004613660830019,1200,105,1305
0.06,0.6666666666666666,0.7692307692307693,0.7142857142857143,45497,20,12,40,0.7692307692159763,0.0004393962695256,1200,100,1300
0.0699999999999999,0.6896551724137931,0.7692307692307693,0.7272727272727273,45499,18,12,40,0.7692307692159763,0.000395456642573,1200,90,1290
0.08,0.6896551724137931,0.7692307692307693,0.7272727272727273,45499,18,12,40,0.7692307692159763,0.000395456642573,1200,90,1290
0.09,0.7017543859649122,0.7692307692307693,0.7339449541284404,45500,17,12,40,0.7692307692159763,0.0003734868290968,1200,85,1285
0.0999999999999999,0.7142857142857143,0.7692307692307693,0.7407407407407407,45501,16,12,40,0.7692307692159763,0.0003515170156205,1200,80,1280
0.11,0.7090909090909091,0.75,0.7289719626168224,45501,16,13,39,0.749999999985577,0.0003515170156205,1300,80,1380
0.12,0.7090909090909091,0.75,0.7289719626168224,45501,16,13,39,0.749999999985577,0.0003515170156205,1300,80,1380
0.13,0.7090909090909091,0.75,0.7289719626168224,45501,16,13,39,0.749999999985577,0.0003515170156205,1300,80,1380
0.14,0.7090909090909091,0.75,0.7289719626168224,45501,16,13,39,0.749999999985577,0.0003515170156205,1300,80,1380
0.15,0.7222222222222222,0.75,0.7358490566037735,45502,15,13,39,0.749999999985577,0.0003295472021442,1300,75,1375
0.16,0.7222222222222222,0.75,0.7358490566037735,45502,15,13,39,0.749999999985577,0.0003295472021442,1300,75,1375
0.17,0.7222222222222222,0.75,0.7358490566037735,45502,15,13,39,0.749999999985577,0.0003295472021442,1300,75,1375
0.18,0.7358490566037735,0.75,0.7428571428571429,45503,14,13,39,0.749999999985577,0.0003075773886679,1300,70,1370
0.19,0.75,0.75,0.75,45504,13,13,39,0.749999999985577,0.0002856075751916,1300,65,1365
0.2,0.7647058823529411,0.75,0.7572815533980582,45505,12,13,39,0.749999999985577,0.0002636377617153,1300,60,1360
0.21,0.7647058823529411,0.75,0.7572815533980582,45505,12,13,39,0.749999999985577,0.0002636377617153,1300,60,1360
0.22,0.7647058823529411,0.75,0.7572815533980582,45505,12,13,39,0.749999999985577,0.0002636377617153,1300,60,1360
0.23,0.78,0.75,0.7647058823529411,45506,11,13,39,0.749999999985577,0.0002416679482391,1300,55,1355
0.24,0.78,0.75,0.7647058823529411,45506,11,13,39,0.749999999985577,0.0002416679482391,1300,55,1355
0.25,0.78,0.75,0.7647058823529411,45506,11,13,39,0.749999999985577,0.0002416679482391,1300,55,1355
0.26,0.78,0.75,0.7647058823529411,45506,11,13,39,0.749999999985577,0.0002416679482391,1300,55,1355
0.27,0.7959183673469388,0.75,0.7722772277227723,45507,10,13,39,0.749999999985577,0.0002196981347628,1300,50,1350
0.28,0.8125,0.75,0.78,45508,9,13,39,0.749999999985577,0.0001977283212865,1300,45,1345
0.29,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,0.749999999985577,0.0001757585078102,1300,40,1340
0.3,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,0.749999999985577,0.0001757585078102,1300,40,1340
0.31,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,0.749999999985577,0.0001757585078102,1300,40,1340
0.32,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,0.749999999985577,0.0001757585078102,1300,40,1340
0.33,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,0.749999999985577,0.0001757585078102,1300,40,1340
0.34,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,0.749999999985577,0.0001757585078102,1300,40,1340
0.35,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,0.749999999985577,0.0001757585078102,1300,40,1340
0.36,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,0.749999999985577,0.0001757585078102,1300,40,1340
0.37,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,0.749999999985577,0.0001757585078102,1300,40,1340
0.38,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,0.749999999985577,0.0001757585078102,1300,40,1340
0.39,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,0.749999999985577,0.0001757585078102,1300,40,1340
0.4,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,0.749999999985577,0.0001757585078102,1300,40,1340
0.41,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,0.749999999985577,0.0001757585078102,1300,40,1340
0.42,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,0.749999999985577,0.0001757585078102,1300,40,1340
0.43,0.8478260869565217,0.75,0.7959183673469388,45510,7,13,39,0.749999999985577,0.0001537886943339,1300,35,1335
0.44,0.8478260869565217,0.75,0.7959183673469388,45510,7,13,39,0.749999999985577,0.0001537886943339,1300,35,1335
0.45,0.8478260869565217,0.75,0.7959183673469388,45510,7,13,39,0.749999999985577,0.0001537886943339,1300,35,1335
0.46,0.8478260869565217,0.75,0.7959183673469388,45510,7,13,39,0.749999999985577,0.0001537886943339,1300,35,1335
0.47,0.8478260869565217,0.75,0.7959183673469388,45510,7,13,39,0.749999999985577,0.0001537886943339,1300,35,1335
0.48,0.8478260869565217,0.75,0.7959183673469388,45510,7,13,39,0.749999999985577,0.0001537886943339,1300,35,1335
0.49,0.8478260869565217,0.75,0.7959183673469388,45510,7,13,39,0.749999999985577,0.0001537886943339,1300,35,1335
0.5,0.8478260869565217,0.75,0.7959183673469388,45510,7,13,39,0.749999999985577,0.0001537886943339,1300,35,1335
0.51,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,0.749999999985577,0.0001318188808576,1300,30,1330
0.52,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,0.749999999985577,0.0001318188808576,1300,30,1330
0.53,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,0.749999999985577,0.0001318188808576,1300,30,1330
0.54,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,0.749999999985577,0.0001318188808576,1300,30,1330
0.55,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,0.749999999985577,0.0001318188808576,1300,30,1330
0.56,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,0.749999999985577,0.0001318188808576,1300,30,1330
0.5700000000000001,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,0.749999999985577,0.0001318188808576,1300,30,1330
0.5800000000000001,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,0.749999999985577,0.0001318188808576,1300,30,1330
0.59,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,0.749999999985577,0.0001318188808576,1300,30,1330
0.6,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,0.749999999985577,0.0001318188808576,1300,30,1330
0.61,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,0.749999999985577,0.0001318188808576,1300,30,1330
0.62,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,0.749999999985577,0.0001318188808576,1300,30,1330
0.63,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,0.749999999985577,0.0001318188808576,1300,30,1330
0.64,0.8636363636363636,0.7307692307692307,0.7916666666666666,45511,6,14,38,0.7307692307551775,0.0001318188808576,1400,30,1430
0.65,0.8837209302325582,0.7307692307692307,0.8,45512,5,14,38,0.7307692307551775,0.0001098490673814,1400,25,1425
0.66,0.8837209302325582,0.7307692307692307,0.8,45512,5,14,38,0.7307692307551775,0.0001098490673814,1400,25,1425
0.67,0.9047619047619048,0.7307692307692307,0.8085106382978723,45513,4,14,38,0.7307692307551775,8.787925390513242e-05,1400,20,1420
0.68,0.9047619047619048,0.7307692307692307,0.8085106382978723,45513,4,14,38,0.7307692307551775,8.787925390513242e-05,1400,20,1420
0.6900000000000001,0.9047619047619048,0.7307692307692307,0.8085106382978723,45513,4,14,38,0.7307692307551775,8.787925390513242e-05,1400,20,1420
0.7000000000000001,0.926829268292683,0.7307692307692307,0.8172043010752689,45514,3,14,38,0.7307692307551775,6.590944042884931e-05,1400,15,1415
0.7100000000000001,0.926829268292683,0.7307692307692307,0.8172043010752689,45514,3,14,38,0.7307692307551775,6.590944042884931e-05,1400,15,1415
0.72,0.926829268292683,0.7307692307692307,0.8172043010752689,45514,3,14,38,0.7307692307551775,6.590944042884931e-05,1400,15,1415
0.73,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,0.7307692307551775,4.393962695256621e-05,1400,10,1410
0.74,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,0.7307692307551775,4.393962695256621e-05,1400,10,1410
0.75,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,0.7307692307551775,4.393962695256621e-05,1400,10,1410
0.76,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,0.7307692307551775,4.393962695256621e-05,1400,10,1410
0.77,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,0.7307692307551775,4.393962695256621e-05,1400,10,1410
0.78,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,0.7307692307551775,4.393962695256621e-05,1400,10,1410
0.79,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,0.7307692307551775,4.393962695256621e-05,1400,10,1410
0.8,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,0.7307692307551775,4.393962695256621e-05,1400,10,1410
0.81,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,0.7307692307551775,4.393962695256621e-05,1400,10,1410
0.8200000000000001,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,0.7307692307551775,4.393962695256621e-05,1400,10,1410
0.8300000000000001,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,0.7307692307551775,4.393962695256621e-05,1400,10,1410
0.8400000000000001,0.9487179487179488,0.7115384615384616,0.8131868131868132,45515,2,15,37,0.7115384615247782,4.393962695256621e-05,1500,10,1510
0.85,0.9487179487179488,0.7115384615384616,0.8131868131868132,45515,2,15,37,0.7115384615247782,4.393962695256621e-05,1500,10,1510
0.86,0.9487179487179488,0.7115384615384616,0.8131868131868132,45515,2,15,37,0.7115384615247782,4.393962695256621e-05,1500,10,1510
0.87,0.9487179487179488,0.7115384615384616,0.8131868131868132,45515,2,15,37,0.7115384615247782,4.393962695256621e-05,1500,10,1510
0.88,0.9487179487179488,0.7115384615384616,0.8131868131868132,45515,2,15,37,0.7115384615247782,4.393962695256621e-05,1500,10,1510
0.89,0.9487179487179488,0.7115384615384616,0.8131868131868132,45515,2,15,37,0.7115384615247782,4.393962695256621e-05,1500,10,1510
0.9,0.9487179487179488,0.7115384615384616,0.8131868131868132,45515,2,15,37,0.7115384615247782,4.393962695256621e-05,1500,10,1510
0.91,0.9487179487179488,0.7115384615384616,0.8131868131868132,45515,2,15,37,0.7115384615247782,4.393962695256621e-05,1500,10,1510
0.92,0.9487179487179488,0.7115384615384616,0.8131868131868132,45515,2,15,37,0.7115384615247782,4.393962695256621e-05,1500,10,1510
0.93,0.9487179487179488,0.7115384615384616,0.8131868131868132,45515,2,15,37,0.7115384615247782,4.393962695256621e-05,1500,10,1510
0.94,0.9487179487179488,0.7115384615384616,0.8131868131868132,45515,2,15,37,0.7115384615247782,4.393962695256621e-05,1500,10,1510
0.95,0.9487179487179488,0.7115384615384616,0.8131868131868132,45515,2,15,37,0.7115384615247782,4.393962695256621e-05,1500,10,1510
